# Template No.           2: sn1994I (Ic-norm; +0) ; z= 0.039 +/- 0.004
#redshifted_wavelength[A] flux[arbitraty]
   7249.09082       1.17564559    
   7258.91162       1.16798937    
   7268.74561       1.16168165    
   7278.59180       1.15723693    
   7288.45264       1.15490627    
   7298.32617       1.15477562    
   7308.21436       1.15687191    
   7318.11426       1.16122782    
   7328.02881       1.16787660    
   7337.95557       1.17677546    
   7347.89697       1.18768525    
   7357.85156       1.20006144    
   7367.81934       1.21300483    
   7377.80029       1.22531891    
   7387.79541       1.23567760    
   7397.80371       1.24287689    
   7407.82568       1.24611235    
   7417.86133       1.24520266    
   7427.91016       1.24069178    
   7437.97314       1.23378873    
   7448.04883       1.22614312    
   7458.13965       1.21950901    
   7468.24219       1.21537197    
   7478.36084       1.21463716    
   7488.49121       1.21745944    
   7498.63574       1.22325528    
   7508.79443       1.23089564    
   7518.96729       1.23902261    
   7529.15283       1.24640512    
   7539.35303       1.25223529    
   7549.56641       1.25629032    
   7559.79443       1.25891900    
   7570.03564       1.26086533    
   7580.29102       1.26298380    
   7590.56055       1.26592994    
   7600.84326       1.26991165    
   7611.14062       1.27456665    
   7621.45117       1.27899373    
   7631.77637       1.28191984    
   7642.11523       1.28195667    
   7652.46826       1.27787352    
   7662.83447       1.26882327    
   7673.21582       1.25447798    
   7683.61084       1.23505652    
   7694.02051       1.21126354    
   7704.44287       1.18417203    
   7714.88037       1.15509045    
   7725.33252       1.12544239    
   7735.79785       1.09666908    
   7746.27734       1.07014835    
   7756.77148       1.04711282    
   7767.27979       1.02855039    
   7777.80225       1.01508987    
   7788.33984       1.00688958    
   7798.89062       1.00356424    
   7809.45557       1.00419438    
   7820.03516       1.00744414    
   7830.62939       1.01179326    
   7841.23779       1.01584888    
   7851.86035       1.01867497    
   7862.49707       1.02005684    
   7873.14893       1.02062416    
   7883.81445       1.02178407    
   7894.49512       1.02546203    
   7905.18945       1.03369737    
   7915.89893       1.04818583    
   7926.62256       1.06987691    
   7937.36133       1.09872377    
   7948.11377       1.13364983    
   7958.88184       1.17273879    
   7969.66357       1.21359527    
   7980.46045       1.25378704    
   7991.27100       1.29125655    
   8002.09766       1.32460642    
   8012.93896       1.35320270    
   8023.79346       1.37709248    
   8034.66406       1.39678407    
   8045.54834       1.41296923    
   8056.44824       1.42627466    
   8067.36230       1.43710959    
   8078.29150       1.44563758    
   8089.23438       1.45185161    
   8100.19336       1.45570016    
   8111.16650       1.45719707    
   8122.15576       1.45645785    
   8133.15869       1.45363605    
   8144.17725       1.44878054    
   8155.20947       1.44166505    
   8166.25781       1.43166125    
   8177.32031       1.41772497    
   8188.39893       1.39852631    
   8199.49121       1.37271214    
   8210.59961       1.33924675    
   8221.72168       1.29773891    
   8232.86035       1.24866140    
   8244.01367       1.19339335    
   8255.18262       1.13405764    
   8266.36621       1.07318461    
   8277.56445       1.01327968    
   8288.77930      0.956400990    
   8300.00781      0.903851032    
   8311.25195      0.856056631    
   8322.51074      0.812659621    
   8333.78613      0.772783816    
   8345.07520      0.735398710    
   8356.38086      0.699679554    
   8367.70117      0.665266812    
   8379.03711      0.632360399    
   8390.38770      0.601636052    
   8401.75488      0.574017346    
   8413.13672      0.550375223    
   8424.53418      0.531246424    
   8435.94727      0.516648293    
   8447.37598      0.506040215    
   8458.81934      0.498442143    
   8470.27832      0.492671877    
   8481.75391      0.487642705    
   8493.24414      0.482644290    
   8504.75000      0.477537155    
   8516.27148      0.472818792    
   8527.80859      0.469549268    
   8539.36133      0.469152033    
   8550.92969      0.473140985    
   8562.51367      0.482825696    
   8574.11426      0.499058157    
   8585.72949      0.522067368    
   8597.36133      0.551411510    
   8609.00781      0.586053133    
   8620.67090      0.624546707    
   8632.34863      0.665297031    
   8644.04395      0.706845820    
   8655.75391      0.748126924    
   8667.48047      0.788643360    
   8679.22168      0.828522682    
   8690.97949      0.868436754    
   8702.75391      0.909393549    
   8714.54297      0.952443600    
   8726.34961      0.998358309    
   8738.17090       1.04735696    
   8750.00977       1.09894764    
   8761.86230       1.15193081    
   8773.73340       1.20457101    
   8785.61816       1.25490546    
   8797.52148       1.30112255    
   8809.43848       1.34191501    
   8821.37402       1.37672532    
   8833.32324       1.40581238    
   8845.29004       1.43012667    
   8857.27344       1.45102036    
   8869.27246       1.46986783    
   8881.28711       1.48769999    
   8893.31934       1.50494182    
   8905.36719       1.52133000    
   8917.43262       1.53601789    
   8929.51172       1.54784119    
   8941.60938       1.55565929    
   8953.72266       1.55867589    
   8965.85254       1.55664647    
   8977.99805       1.54991925    
   8990.16016       1.53930867    
   9002.34082       1.52584553    
   9014.53613       1.51049054    
   9026.74902       1.49390292    
   9038.97754       1.47633731    
   9051.22266       1.45769680    
   9063.48340       1.43772089    
   9075.76367       1.41624045    
   9088.05762       1.39340866    
   9100.37012       1.36982250    
   9112.69824       1.34648347    
   9125.04297       1.32459342    
   9137.40527       1.30523932    
   9149.78320       1.28905463    
   9162.17871       1.27595758    
   9174.59082       1.26505578    
   9187.01953       1.25475943    
   9199.46582       1.24309003    
   9211.92773       1.22812533    
   9224.40820       1.20847356    
   9236.90332       1.18367314    
   9249.41797       1.15441442    
   9261.94922       1.12253439    
   9274.49609       1.09077048    
   9287.06055       1.06232131    
   9299.64160       1.04029143    
   9312.24023       1.02712405    
   9324.85547       1.02412438    
   9337.48828       1.03115892    
   9350.13770       1.04659235    
   9362.80566       1.06748199    
   9375.48828       1.09001493    
   9388.18945       1.11013091    
   9400.90723       1.12423944    
   9413.64355       1.12991488    
   9426.39648       1.12643600    
   9439.16602       1.11504877    
   9451.95410       1.09885943    
   9464.75879       1.08232832    
   9477.58008       1.07041049    
   9490.42090       1.06747210    
   9503.27734       1.07618856    
   9516.15137       1.09666085    
   9529.04297       1.12598157    
   9541.95215       1.15840387    
   9554.87988       1.18615711    
   9567.82324       1.20080185    
   9580.78613       1.19488335    
   9593.76465       1.16354656    
   9606.76172       1.10575056    
   9619.77539       1.02478731    
   9632.80859      0.927940547    
   9645.85742      0.825317323    
   9658.92480      0.728065908    
   9672.00879      0.646353245    
   9685.11328      0.587532580    
