                                                                     
   wavelen         flux     sky_flux     flux_unc  xpixel    ypixel     response   flag 
   3433.9148 -3.12096e-19  6.99492e-17  2.63239e-18     934   116.956  5.67054e+15  0     
   3435.9607  9.87032e-19  7.08928e-17  2.65404e-18     935   116.957  5.71753e+15  0     
   3438.0068  1.51710e-18  7.24046e-17  2.67183e-18     936   116.959  5.76587e+15  0     
   3440.0537  3.37279e-18  6.68246e-17  2.60204e-18     937   116.961  5.81581e+15  0     
   3442.1008  3.96231e-18  6.31529e-17  2.54167e-18     938   116.962  5.86551e+15  0     
   3444.1484  3.17106e-18  5.88630e-17  2.44982e-18     939   116.964  5.91254e+15  0     
   3446.1965  1.21780e-18  6.01339e-17  2.42790e-18     940   116.965  5.95755e+15  0     
   3448.2451  2.50332e-18  6.61271e-17  2.53111e-18     941   116.967  6.00019e+15  0     
   3450.2942  4.77048e-18  7.49342e-17  2.68366e-18     942   116.969  6.04271e+15  0     
   3452.3435 -1.99448e-18  8.31956e-17  2.69414e-18     943   116.970  6.08495e+15  0     
   3454.3933 -1.23629e-18  8.53844e-17  2.72450e-18     944   116.972  6.12773e+15  0     
   3456.4438  4.68682e-18  8.33188e-17  2.76612e-18     945   116.973  6.17195e+15  0     
   3458.4946  1.73013e-18  7.88258e-17  2.65235e-18     946   116.975  6.21608e+15  0     
   3460.5459  3.09817e-18  7.28481e-17  2.57651e-18     947   116.977  6.25921e+15  0     
   3462.5974  3.40415e-18  7.10529e-17  2.54506e-18     948   116.979  6.30174e+15  0     
   3464.6497  3.34279e-19  7.12372e-17  2.49338e-18     949   116.980  6.34398e+15  0     
   3466.7021  2.57162e-18  6.80178e-17  2.46935e-18     950   116.982  6.38664e+15  0     
   3468.7551  2.94136e-18  6.98877e-17  2.49251e-18     951   116.984  6.42879e+15  0     
   3470.8086 -1.20923e-18  6.62659e-17  2.36837e-18     952   116.985  6.47154e+15  0     
   3472.8625  7.18073e-19  5.69602e-17  2.24485e-18     953   116.987  6.51689e+15  0     
   3474.9170  3.53591e-18  5.74327e-17  2.28661e-18     954   116.989  6.56399e+15  0     
   3476.9717 -5.76696e-19  6.47679e-17  2.32588e-18     955   116.991  6.61181e+15  0     
   3479.0269  7.14849e-19  7.67652e-17  2.50799e-18     956   116.993  6.65795e+15  0     
   3481.0825  3.80752e-19  9.44433e-17  2.72819e-18     957   116.995  6.70026e+15  0     
   3483.1387  5.03398e-19  1.00730e-16  2.79795e-18     958   116.996  6.74440e+15  0     
   3485.1953 -2.37145e-18  9.76029e-17  2.71245e-18     959   116.998  6.79278e+15  0     
   3487.2522  1.37903e-18  9.21669e-17  2.68019e-18     960   117.000  6.84272e+15  0     
   3489.3096 -3.85042e-19  8.52354e-17  2.55795e-18     961   117.002  6.89085e+15  0     
   3491.3672 -6.61754e-20  7.89104e-17  2.46805e-18     962   117.004  6.93894e+15  0     
   3493.4255 -2.33043e-18  7.44751e-17  2.36665e-18     963   117.006  6.98559e+15  0     
   3495.4844  3.17294e-18  6.94481e-17  2.36485e-18     964   117.008  7.02927e+15  0     
   3497.5435  4.65434e-18  6.60253e-17  2.32957e-18     965   117.010  7.07192e+15  0     
   3499.6030  3.61659e-18  6.52539e-17  2.29636e-18     966   117.012  7.11288e+15  0     
